1,-1,111.0,278.0,14.0,10.0,1.000000
1,-1,131.0,210.0,15.0,13.0,1.000000
1,-1,150.0,40.0,21.0,20.0,1.000000
1,-1,361.0,140.0,26.0,23.0,1.000000
1,-1,449.0,244.0,14.0,15.0,1.000000
1,-1,509.0,87.0,13.0,12.0,1.000000
1,-1,563.0,30.0,25.0,21.0,1.000000
1,-1,563.0,220.0,17.0,14.0,1.000000
2,-1,111.0,278.0,14.0,10.0,1.000000
2,-1,127.0,210.0,15.0,13.0,1.000000
2,-1,149.0,40.0,21.0,20.0,1.000000
2,-1,361.0,140.0,26.0,23.0,1.000000
2,-1,445.0,244.0,14.0,15.0,1.000000
2,-1,505.0,87.0,13.0,12.0,1.000000
2,-1,559.0,220.0,17.0,14.0,1.000000
2,-1,563.0,30.0,25.0,21.0,1.000000
3,-1,111.0,278.0,14.0,10.0,1.000000
3,-1,124.0,210.0,15.0,13.0,1.000000
3,-1,149.0,40.0,21.0,20.0,1.000000
3,-1,361.0,140.0,26.0,23.0,1.000000
3,-1,442.0,244.0,14.0,15.0,1.000000
3,-1,502.0,87.0,13.0,12.0,1.000000
3,-1,556.0,220.0,17.0,14.0,1.000000
3,-1,563.0,30.0,25.0,21.0,1.000000
4,-1,111.0,278.0,14.0,10.0,1.000000
4,-1,121.0,210.0,15.0,13.0,1.000000
4,-1,148.0,40.0,21.0,20.0,1.000000
4,-1,361.0,140.0,26.0,23.0,1.000000
4,-1,438.0,244.0,14.0,15.0,1.000000
4,-1,498.0,87.0,13.0,12.0,1.000000
4,-1,552.0,220.0,17.0,14.0,1.000000
4,-1,563.0,30.0,25.0,21.0,1.000000
5,-1,111.0,278.0,14.0,10.0,1.000000
5,-1,113.0,210.0,15.0,13.0,1.000000
5,-1,147.0,40.0,21.0,20.0,1.000000
5,-1,362.0,141.0,26.0,23.0,1.000000
5,-1,431.0,244.0,14.0,15.0,1.000000
5,-1,491.0,87.0,13.0,12.0,1.000000
5,-1,545.0,220.0,16.0,13.0,1.000000
5,-1,562.0,30.0,25.0,21.0,1.000000
6,-1,111.0,278.0,14.0,10.0,1.000000
6,-1,113.0,210.0,15.0,13.0,1.000000
6,-1,147.0,40.0,21.0,20.0,1.000000
6,-1,362.0,141.0,26.0,23.0,1.000000
6,-1,431.0,244.0,14.0,15.0,1.000000
6,-1,491.0,87.0,13.0,12.0,1.000000
6,-1,545.0,220.0,16.0,13.0,1.000000
6,-1,562.0,30.0,25.0,21.0,1.000000
7,-1,110.0,210.0,14.0,13.0,1.000000
7,-1,111.0,278.0,14.0,10.0,1.000000
7,-1,146.0,40.0,21.0,20.0,1.000000
7,-1,362.0,141.0,26.0,23.0,1.000000
7,-1,428.0,244.0,14.0,15.0,1.000000
7,-1,488.0,87.0,13.0,12.0,1.000000
7,-1,542.0,220.0,16.0,13.0,1.000000
7,-1,562.0,30.0,25.0,21.0,1.000000
8,-1,107.0,210.0,14.0,12.0,1.000000
8,-1,111.0,278.0,14.0,10.0,1.000000
8,-1,146.0,41.0,21.0,20.0,1.000000
8,-1,362.0,141.0,26.0,23.0,1.000000
8,-1,424.0,244.0,14.0,15.0,1.000000
8,-1,484.0,88.0,13.0,12.0,1.000000
8,-1,538.0,220.0,17.0,14.0,1.000000
8,-1,562.0,30.0,25.0,21.0,1.000000
9,-1,103.0,210.0,15.0,13.0,1.000000
9,-1,111.0,278.0,14.0,10.0,1.000000
9,-1,145.0,40.0,21.0,20.0,1.000000
9,-1,362.0,141.0,26.0,23.0,1.000000
9,-1,421.0,244.0,14.0,15.0,1.000000
9,-1,481.0,88.0,13.0,12.0,1.000000
9,-1,534.0,220.0,16.0,13.0,1.000000
9,-1,562.0,30.0,25.0,21.0,1.000000
10,-1,100.0,210.0,15.0,13.0,1.000000
10,-1,111.0,278.0,14.0,10.0,1.000000
10,-1,144.0,41.0,21.0,20.0,1.000000
10,-1,362.0,141.0,26.0,23.0,1.000000
10,-1,417.0,244.0,14.0,15.0,1.000000
10,-1,477.0,88.0,13.0,12.0,1.000000
10,-1,530.0,220.0,16.0,13.0,1.000000
